TimeH,R1H,T1H,R2H,T2H,TimeI,R1I,T1I,R2I,T2I
176.3299983,1.11E-11,2.50E-05,1.11E-11,2.64E-05,174.3350616,1.21E-11,1.56E-11,1.47E-11,2.45E-11
177.2980425,1.11E-11,2.58E-05,1.04E-11,2.69E-05,175.287499,1.17E-11,1.51E-11,1.39E-11,2.39E-11
178.2591221,1.05E-11,2.72E-05,1.01E-11,2.71E-05,176.247597,1.10E-11,1.54E-11,1.36E-11,2.41E-11
179.2359869,1.11E-11,2.70E-05,1.07E-11,2.83E-05,177.2229862,1.09E-11,1.55E-11,1.48E-11,2.42E-11
180.2373583,1.07E-11,2.52E-05,1.03E-11,2.80E-05,178.1730251,1.13E-11,1.60E-11,1.45E-11,2.42E-11
181.2138832,1.00E-11,2.54E-05,1.01E-11,2.83E-05,179.1245441,1.12E-11,1.57E-11,1.40E-11,2.45E-11
182.2021921,9.74E-12,2.58E-05,1.05E-11,2.84E-05,180.0964277,1.08E-11,1.70E-11,1.32E-11,2.48E-11
183.1990035,1.05E-11,2.58E-05,1.07E-11,2.72E-05,181.0576653,1.15E-11,1.66E-11,1.40E-11,2.48E-11
184.1765459,1.02E-11,2.74E-05,1.12E-11,2.68E-05,182.0285761,1.23E-11,1.62E-11,1.40E-11,2.54E-11
185.1756749,1.04E-11,2.61E-05,1.08E-11,2.73E-05,182.969084,1.14E-11,1.64E-11,1.40E-11,2.49E-11
186.1651676,1.06E-11,2.59E-05,1.05E-11,2.74E-05,183.9513154,1.01E-11,1.51E-11,1.47E-11,2.48E-11
187.1430163,1.05E-11,2.66E-05,1.04E-11,2.69E-05,184.9151056,1.06E-11,1.47E-11,1.43E-11,2.45E-11
188.1536191,1.14E-11,2.59E-05,1.03E-11,2.78E-05,185.8867126,1.10E-11,1.57E-11,1.54E-11,2.47E-11
189.1304727,1.12E-11,2.67E-05,1.06E-11,2.68E-05,186.8380296,1.08E-11,1.62E-11,1.52E-11,2.41E-11
190.1081493,1.02E-11,2.72E-05,1.12E-11,2.67E-05,187.7996426,1.10E-11,1.46E-11,1.46E-11,2.44E-11
191.1061387,1.04E-11,2.47E-05,1.06E-11,2.68E-05,188.7717559,1.11E-11,1.48E-11,1.39E-11,2.48E-11
192.0724986,1.11E-11,2.45E-05,1.03E-11,2.68E-05,189.7317877,1.09E-11,1.51E-11,1.38E-11,2.37E-11
193.0739803,1.06E-11,2.63E-05,1.01E-11,2.72E-05,190.7022271,1.12E-11,1.62E-11,1.51E-11,2.39E-11
194.0702152,1.06E-11,2.69E-05,1.01E-11,2.64E-05,191.6634147,1.07E-11,1.66E-11,1.53E-11,2.43E-11
195.0485198,1.03E-11,2.53E-05,9.51E-12,2.74E-05,192.6449637,1.07E-11,1.61E-11,1.52E-11,2.48E-11
196.0355418,1.00E-11,2.47E-05,1.07E-11,2.81E-05,193.607029,1.04E-11,1.55E-11,1.43E-11,2.49E-11
